award_value,organisation
194000,The University of Edinburgh
171000,The University of Edinburgh
64000,The University of Essex
220000,The University of Essex
81000,The University of Essex
194000,The University of Essex
130000,The University of Essex
171000,The University of Exeter
397000,The University of Exeter
641000,The University of Exeter
72000,The University of Exeter
1296000,The University of Exeter
34000,The University of Exeter
158000,The University of Exeter
76000,The University of Exeter
634000,The University of Exeter
307000,The University of Exeter
63000,The University of Exeter
193000,The University of Exeter
37000,The University of Exeter
172000,The University of Exeter
362000,The University of Exeter
213000,The University of Exeter
52000,The University of Exeter
81000,The University of Exeter
202000,The University of Exeter
84000,The University of Exeter
60000,The University of Exeter
191000,The University of Exeter
160000,The University of Exeter
902000,The University of Exeter
597000,The University of Exeter
184000,The University of Exeter
194000,The University of Exeter
201000,The University of Exeter
51000,The University of Exeter
479000,The University of Exeter
371000,The University of Exeter
30000,The University of Exeter
81000,The University of Exeter
24000,The University of Exeter
165000,The University of Exeter
80000,The University of Exeter
80000,The University of Exeter
202000,The University of Exeter
202000,The University of Exeter
165000,The University of Exeter
56000,The University of Exeter
173000,The University of Exeter
28000,The University of Exeter
147000,The University of Exeter
32000,The University of Exeter
36000,The University of Exeter
1890000,The University of Exeter
52000,The University of Exeter
81000,The University of Exeter
78000,The University of Exeter
799000,The University of Glasgow
187000,The University of Glasgow
359000,The University of Glasgow
35000,The University of Glasgow
35000,The University of Glasgow
36000,The University of Glasgow
856000,The University of Glasgow
815000,The University of Glasgow
75000,The University of Glasgow
185000,The University of Glasgow
200000,The University of Glasgow
126000,The University of Glasgow
209000,The University of Glasgow
162000,The University of Glasgow
813000,The University of Glasgow
138000,The University of Glasgow
53000,The University of Glasgow
98000,The University of Glasgow
678000,The University of Glasgow
181000,The University of Glasgow
36000,The University of Glasgow
60000,The University of Glasgow
29000,The University of Glasgow
166000,The University of Glasgow
53000,The University of Glasgow
202000,The University of Glasgow
32000,The University of Glasgow
693000,The University of Glasgow
48000,The University of Glasgow
75000,The University of Glasgow
43000,The University of Glasgow
202000,The University of Glasgow
91000,The University of Glasgow
81000,The University of Glasgow
145000,The University of Glasgow
1906000,The University of Glasgow
316000,The University of Glasgow
514000,The University of Huddersfield
183000,The University of Huddersfield
4304000,The University of Huddersfield
48000,The University of Huddersfield
81000,The University of Huddersfield
80000,The University of Huddersfield
670000,The University of Hull
201000,The University of Hull
68000,The University of Hull
80000,The University of Hull
370000,The University of Hull
21000,The University of Hull
135000,The University of Hull
34000,The University of Hull
30000,The University of Hull
36000,The University of Hull
745000,The University of Hull
511000,The University of Kent
144000,The University of Kent
198000,The University of Kent
36000,The University of Kent
31000,The University of Kent
74000,The University of Kent
195000,The University of Kent
501000,The University of Kent
822000,The University of Kent
305000,The University of Kent
202000,The University of Kent
36000,The University of Kent
56000,The University of Kent
23000,The University of Kent
656000,The University of Kent
198000,The University of Kent
655000,The University of Kent
36000,The University of Kent
62000,The University of Kent
199000,The University of Kent
90000,The University of Lancaster
191000,The University of Lancaster
804000,The University of Lancaster
37000,The University of Lancaster
12000,The University of Lancaster
465000,The University of Lancaster
59000,The University of Lancaster
26000,The University of Lancaster
731000,The University of Lancaster
1034000,The University of Lancaster
121000,The University of Lancaster
30000,The University of Lancaster
212000,The University of Lancaster
40000,The University of Lancaster
36000,The University of Lancaster
60000,The University of Lancaster
81000,The University of Lancaster
199000,The University of Lancaster
81000,The University of Lancaster
54000,The University of Lancaster
623000,The University of Lancaster
87000,The University of Lancaster
823000,The University of Lancaster
79000,The University of Lancaster
24000,The University of Lancaster
48000,The University of Lancaster
55000,The University of Lancaster
109000,The University of Lancaster
716000,The University of Leeds
93000,The University of Leeds
36000,The University of Leeds
32000,The University of Leeds
24000,The University of Leeds
79000,The University of Leeds
24000,The University of Leeds
36000,The University of Leeds
166000,The University of Leeds
36000,The University of Leeds
24000,The University of Leeds
168000,The University of Leeds
22000,The University of Leeds
32000,The University of Leeds
199000,The University of Leeds
282000,The University of Leeds
200000,The University of Leeds
200000,The University of Leeds
24000,The University of Leeds
184000,The University of Leeds
813000,The University of Leeds
81000,The University of Leeds
25000,The University of Leeds
81000,The University of Leeds
40000,The University of Leeds
47000,The University of Leeds
30000,The University of Leeds
13000,The University of Leeds
81000,The University of Leeds
81000,The University of Leeds
81000,The University of Leeds
760000,The University of Leeds
72000,The University of Leeds
36000,The University of Leeds
81000,The University of Leeds
32000,The University of Leeds
155000,The University of Leeds
83000,The University of Leeds
30000,The University of Leeds
180000,The University of Leeds
197000,The University of Leeds
42000,The University of Leeds
57000,The University of Leeds
3014000,The University of Leeds
186000,The University of Leeds
175000,The University of Leeds
202000,The University of Leeds
60000,The University of Leeds
67000,The University of Leeds
35000,The University of Leeds
804000,The University of Leeds
804000,The University of Leeds
5522000,The University of Leeds
200000,The University of Leeds
55000,The University of Leeds
56000,The University of Leeds
85000,The University of Leeds
156000,The University of Leeds
201000,The University of Leeds
202000,The University of Leeds
81000,The University of Leeds
145000,The University of Leeds
39000,The University of Leeds
201000,The University of Leeds
2049000,The University of Leeds
81000,The University of Leeds
595000,The University of Leeds
76000,The University of Leeds
503000,The University of Leeds
196000,The University of Leeds
24000,The University of Leeds
176000,The University of Leeds
108000,The University of Leeds
52000,The University of Leeds
56000,The University of Leeds
36000,The University of Leeds
178000,The University of Leeds
37000,The University of Leeds
202000,The University of Leeds
94000,The University of Leeds
49000,The University of Leeds
55000,The University of Leeds
409000,The University of Leeds
79000,The University of Leeds
285000,The University of Leeds
103000,The University of Leicester
36000,The University of Leicester
20000,The University of Leicester
816000,The University of Leicester
81000,The University of Leicester
510000,The University of Leicester
821000,The University of Leicester
201000,The University of Leicester
170000,The University of Leicester
142000,The University of Leicester
202000,The University of Leicester
192000,The University of Leicester
200000,The University of Leicester
812000,The University of Leicester
818000,The University of Leicester
34000,The University of Leicester
36000,The University of Leicester
210000,The University of Leicester
79000,The University of Leicester
80000,The University of Leicester
627000,The University of Lincoln
76000,The University of Lincoln
39000,The University of Lincoln
86000,The University of Lincoln
132000,The University of Lincoln
100000,The University of Lincoln
142000,The University of Lincoln
1862000,The University of Lincoln
79000,The University of Liverpool
755000,The University of Liverpool
707000,The University of Liverpool
79000,The University of Liverpool
36000,The University of Liverpool
164000,The University of Liverpool
29000,The University of Liverpool
571000,The University of Liverpool
79000,The University of Liverpool
76000,The University of Liverpool
67000,The University of Liverpool
59000,The University of Liverpool
1937000,The University of Liverpool
158000,The University of Liverpool
199000,The University of Liverpool
434000,The University of Liverpool
162000,The University of Liverpool
843000,The University of Liverpool
352000,The University of Liverpool
72000,The University of Liverpool
214000,The University of Liverpool
202000,The University of Liverpool
35000,The University of Liverpool
85000,The University of Liverpool
80000,The University of Liverpool
48000,The University of Liverpool
434000,The University of Liverpool
285000,The University of Liverpool
797000,The University of Manchester
140000,The University of Manchester
143000,The University of Manchester
94000,The University of Manchester
196000,The University of Manchester
77000,The University of Manchester
75000,The University of Manchester
800000,The University of Manchester
3232000,The University of Manchester
461000,The University of Manchester
370000,The University of Manchester
720000,The University of Manchester
81000,The University of Manchester
168000,The University of Manchester
174000,The University of Manchester
81000,The University of Manchester
53000,The University of Manchester
190000,The University of Manchester
167000,The University of Manchester
701000,The University of Manchester
456000,The University of Manchester
809000,The University of Manchester
202000,The University of Manchester
264000,The University of Manchester
477000,The University of Manchester
739000,The University of Manchester
829000,The University of Manchester
810000,The University of Manchester
27000,The University of Manchester
203000,The University of Manchester
202000,The University of Manchester
199000,The University of Manchester
202000,The University of Manchester
91000,The University of Manchester
201000,The University of Manchester
41000,The University of Manchester
81000,The University of Manchester
24000,The University of Northampton
104000,The University of Oxford
135000,The University of Oxford
