fy_decision_date,ukri_council,grant_category,reference,organisation
2015-16,AHRC,Research and Innovation Grant,AH/N001400/1,Coventry University
2015-16,AHRC,Research and Innovation Grant,AH/N001451/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N001451/1,Queen's University Belfast
2015-16,AHRC,Research and Innovation Grant,AH/N00146X/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/N00146X/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/N00146X/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/N001567/1,Royal Holloway and Bedford New College
2015-16,AHRC,Research and Innovation Grant,AH/N001567/1,The University of Warwick
2015-16,AHRC,Research and Innovation Grant,AH/N001575/1,The University of Cambridge
2015-16,AHRC,Research and Innovation Grant,AH/N001575/1,The University of Bristol
2015-16,AHRC,Research and Innovation Grant,AH/N001591/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N001591/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N001605/1,The University of Glasgow
2015-16,AHRC,Research and Innovation Grant,AH/N001605/1,The University of Glasgow
2015-16,AHRC,Research and Innovation Grant,AH/N001605/1,The University of Glasgow
2015-16,AHRC,Research and Innovation Grant,AH/N00163X/1,The University of Surrey
2015-16,AHRC,Research and Innovation Grant,AH/N00163X/1,The University of Surrey
2015-16,AHRC,Research and Innovation Grant,AH/N00163X/1,The University of Surrey
2015-16,AHRC,Research and Innovation Grant,AH/N001664/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/N001664/1,The British Museum
2015-16,AHRC,Research and Innovation Grant,AH/N001664/1,The University of Manchester
2015-16,AHRC,Fellowship,AH/N001702/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/N001710/1,Roehampton University
2015-16,AHRC,Research and Innovation Grant,AH/N001710/1,King's College London
2015-16,AHRC,Research and Innovation Grant,AH/N001729/1,The University of Bristol
2015-16,AHRC,Research and Innovation Grant,AH/N001729/1,The University of Bristol
2015-16,AHRC,Research and Innovation Grant,AH/N001729/1,The University of Bristol
2015-16,AHRC,Research and Innovation Grant,AH/N001761/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N001761/1,SOAS University of London
2015-16,AHRC,Research and Innovation Grant,AH/N00177X/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N00177X/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N001788/1,The University of Bradford
2015-16,AHRC,Research and Innovation Grant,AH/N001788/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N001788/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N001826/1,The University of Westminster
2015-16,AHRC,Research and Innovation Grant,AH/N001826/1,SOAS University of London
2015-16,AHRC,Research and Innovation Grant,AH/N001842/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N001850/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N001850/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N001877/1,The University of Birmingham
2015-16,AHRC,Research and Innovation Grant,AH/N001877/1,University College London
2015-16,AHRC,Research and Innovation Grant,AH/N001907/1,The University of Edinburgh
2015-16,AHRC,Research and Innovation Grant,AH/N001907/1,Aberystwyth University
2015-16,AHRC,Research and Innovation Grant,AH/N001931/1,The University of Exeter
2015-16,AHRC,Research and Innovation Grant,AH/N001931/1,The University of Reading
2015-16,AHRC,Fellowship,AH/N00194X/1,The University of Sussex
2015-16,AHRC,Research and Innovation Grant,AH/N001966/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N001966/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N001966/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N001966/1,The University of Leeds
2015-16,AHRC,Research and Innovation Grant,AH/N00213X/1,The University of Kent
2015-16,AHRC,Research and Innovation Grant,AH/N00213X/1,The University of Edinburgh
2015-16,AHRC,Research and Innovation Grant,AH/N002180/1,The University of Edinburgh
2015-16,AHRC,Research and Innovation Grant,AH/N002180/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N002393/1,The University of Southampton
2015-16,AHRC,Research and Innovation Grant,AH/N002415/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/N002415/1,The University of Central Lancashire
2015-16,AHRC,Research and Innovation Grant,AH/N002415/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/N002415/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/N002415/1,The University of Lancaster
2015-16,AHRC,Research and Innovation Grant,AH/N002733/1,The University of Exeter
2015-16,AHRC,Research and Innovation Grant,AH/N002733/1,The University of Oxford
2015-16,AHRC,Research and Innovation Grant,AH/N002865/1,The University of Reading
2015-16,AHRC,Research and Innovation Grant,AH/N002865/1,The University of Reading
2015-16,AHRC,Fellowship,AH/N002881/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N00289X/1,"University of the West of England, Bristol"
2015-16,AHRC,Fellowship,AH/N002903/1,The University of Manchester
2015-16,AHRC,Fellowship,AH/N002911/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N00292X/1,Cardiff University
2015-16,AHRC,Research and Innovation Grant,AH/N002938/1,University of Northumbria at Newcastle
2015-16,AHRC,Research and Innovation Grant,AH/N002938/1,The University of Manchester
2015-16,AHRC,Research and Innovation Grant,AH/N002938/1,The University of Manchester
2015-16,AHRC,Fellowship,AH/N002946/1,The University of Manchester
2015-16,AHRC,Fellowship,AH/N002954/1,Ulster University
2015-16,AHRC,Research and Innovation Grant,AH/N002989/1,The University of Surrey
