fy_decision_date,ukri_council,grant_category,reference,organisation
2018-19,EPSRC,Research and Innovation Grant,EP/S005560/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S005560/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S005560/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S005560/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S005560/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S005625/1,The University of Kent
2018-19,EPSRC,Research and Innovation Grant,EP/S005625/1,The University of Kent
2018-19,EPSRC,Research and Innovation Grant,EP/S005625/1,The University of Kent
2018-19,EPSRC,Research and Innovation Grant,EP/S005641/1,University College London
2018-19,EPSRC,Research and Innovation Grant,EP/S005692/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S005730/1,The University of Lancaster
2018-19,EPSRC,Research and Innovation Grant,EP/S005730/1,Brunel University London
2018-19,EPSRC,Research and Innovation Grant,EP/S005749/1,The University of Central Lancashire
2018-19,EPSRC,Research and Innovation Grant,EP/S005781/1,Heriot-Watt University
2018-19,EPSRC,Research and Innovation Grant,EP/S005803/1,Queen Mary University of London
2018-19,EPSRC,Research and Innovation Grant,EP/S005854/1,The University of East Anglia
2018-19,EPSRC,Research and Innovation Grant,EP/S005854/1,The University of East Anglia
2018-19,EPSRC,Research and Innovation Grant,EP/S005854/1,The University of East Anglia
2018-19,EPSRC,Research and Innovation Grant,EP/S005854/1,The University of East Anglia
2018-19,EPSRC,Research and Innovation Grant,EP/S005854/1,The University of East Anglia
2018-19,EPSRC,Research and Innovation Grant,EP/S005862/1,Newcastle University
2018-19,EPSRC,Research and Innovation Grant,EP/S005862/1,Newcastle University
2018-19,EPSRC,Research and Innovation Grant,EP/S005927/1,The University of Portsmouth
2018-19,EPSRC,Research and Innovation Grant,EP/S005927/1,The University of Portsmouth
2018-19,EPSRC,Research and Innovation Grant,EP/S006079/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S006869/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S006869/1,Salford Royal NHS Foundation Trust
2018-19,EPSRC,Research and Innovation Grant,EP/S006869/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S007903/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S007903/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S007903/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S007903/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S007954/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S007954/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S007954/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S007954/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S007954/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S007954/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S008101/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S008101/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S008101/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S008764/1,The University of Southampton
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,"Imperial College of Science, Technology and Medicine"
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,University College London
2018-19,EPSRC,Research and Innovation Grant,EP/S009000/1,University College London
2018-19,EPSRC,Research and Innovation Grant,EP/S009213/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S009213/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S009213/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S009213/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S00940X/1,The University of Lancaster
2018-19,EPSRC,Research and Innovation Grant,EP/S009442/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S009442/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S009493/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S009493/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S009493/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S009493/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S009582/1,Queen Mary University of London
2018-19,EPSRC,Research and Innovation Grant,EP/S009582/1,Queen Mary University of London
2018-19,EPSRC,Research and Innovation Grant,EP/S009620/1,The University of Lancaster
2018-19,EPSRC,Research and Innovation Grant,EP/S009620/1,The University of Lancaster
2018-19,EPSRC,Research and Innovation Grant,EP/S009620/1,The University of Lancaster
2018-19,EPSRC,Research and Innovation Grant,EP/S009647/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S009647/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S009647/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S00968X/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S00968X/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S009957/1,The University of Exeter
2018-19,EPSRC,Research and Innovation Grant,EP/S009957/1,The University of Exeter
2018-19,EPSRC,Research and Innovation Grant,EP/S009965/1,The University of York
2018-19,EPSRC,Research and Innovation Grant,EP/S009981/1,The University of Leicester
2018-19,EPSRC,Research and Innovation Grant,EP/S009981/1,The University of Southampton
2018-19,EPSRC,Research and Innovation Grant,EP/S010009/1,Queen Mary University of London
2018-19,EPSRC,Research and Innovation Grant,EP/S010009/1,Queen Mary University of London
2018-19,EPSRC,Research and Innovation Grant,EP/S010009/1,Queen Mary University of London
2018-19,EPSRC,Research and Innovation Grant,EP/S01005X/1,Cardiff University
2018-19,EPSRC,Research and Innovation Grant,EP/S01005X/1,Cardiff University
2018-19,EPSRC,Research and Innovation Grant,EP/S01005X/1,Cardiff University
2018-19,EPSRC,Research and Innovation Grant,EP/S01005X/1,Cardiff University
2018-19,EPSRC,Research and Innovation Grant,EP/S01005X/1,Cardiff University
2018-19,EPSRC,Research and Innovation Grant,EP/S01005X/1,Cardiff University
2018-19,EPSRC,Research and Innovation Grant,EP/S01005X/1,Cardiff University
2018-19,EPSRC,Research and Innovation Grant,EP/S01005X/1,Cardiff University
2018-19,EPSRC,Research and Innovation Grant,EP/S010076/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S010076/1,King's College London
2018-19,EPSRC,Research and Innovation Grant,EP/S010076/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S010076/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S010076/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S010076/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S010076/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S010092/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S010092/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Leeds
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,Diamond Light Source
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,"Imperial College of Science, Technology and Medicine"
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,"Imperial College of Science, Technology and Medicine"
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Bristol
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Bristol
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Lancaster
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Lancaster
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Leeds
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Southampton
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Surrey
2018-19,EPSRC,Research and Innovation Grant,EP/S01019X/1,The University of Surrey
2018-19,EPSRC,Fellowship,EP/S010203/1,"Imperial College of Science, Technology and Medicine"
2018-19,EPSRC,Research and Innovation Grant,EP/S010238/1,Swansea University
2018-19,EPSRC,Research and Innovation Grant,EP/S010238/1,Swansea University
2018-19,EPSRC,Research and Innovation Grant,EP/S010246/1,Royal Holloway and Bedford New College
2018-19,EPSRC,Research and Innovation Grant,EP/S010289/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S010289/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S010300/1,Loughborough University
2018-19,EPSRC,Research and Innovation Grant,EP/S010319/1,University of Plymouth
2018-19,EPSRC,Research and Innovation Grant,EP/S010319/1,University of Plymouth
2018-19,EPSRC,Research and Innovation Grant,EP/S010335/1,The Open University
2018-19,EPSRC,Research and Innovation Grant,EP/S010378/1,The University of Bristol
2018-19,EPSRC,Research and Innovation Grant,EP/S010378/1,The University of Bristol
2018-19,EPSRC,Research and Innovation Grant,EP/S010378/1,The University of Bristol
2018-19,EPSRC,Research and Innovation Grant,EP/S010734/1,Oxford Brookes University
2018-19,EPSRC,Research and Innovation Grant,EP/S010734/1,Oxford Brookes University
2018-19,EPSRC,Research and Innovation Grant,EP/S010734/1,Oxford Brookes University
2018-19,EPSRC,Research and Innovation Grant,EP/S010734/1,Oxford Brookes University
2018-19,EPSRC,Research and Innovation Grant,EP/S010734/1,The University of Oxford
2018-19,EPSRC,Research and Innovation Grant,EP/S010769/1,University College London
2018-19,EPSRC,Research and Innovation Grant,EP/S010807/1,The University of Reading
2018-19,EPSRC,Research and Innovation Grant,EP/S010963/1,Heriot-Watt University
2018-19,EPSRC,Research and Innovation Grant,EP/S011005/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S011382/1,The University of Bath
2018-19,EPSRC,Research and Innovation Grant,EP/S011382/1,The University of Bath
2018-19,EPSRC,Research and Innovation Grant,EP/S011609/1,Teesside University
2018-19,EPSRC,Research and Innovation Grant,EP/S011862/1,The Manchester Metropolitan University
2018-19,EPSRC,Research and Innovation Grant,EP/S011897/1,University of Nottingham
2018-19,EPSRC,Research and Innovation Grant,EP/S011897/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S011897/1,University of Nottingham
2018-19,EPSRC,Research and Innovation Grant,EP/S011897/1,University of Nottingham
2018-19,EPSRC,Research and Innovation Grant,EP/S011897/1,University of Nottingham
2018-19,EPSRC,Research and Innovation Grant,EP/S011897/1,University of Nottingham
2018-19,EPSRC,Research and Innovation Grant,EP/S011897/1,University of Nottingham
2018-19,EPSRC,Research and Innovation Grant,EP/S011897/1,University of Nottingham
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S011919/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S011927/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S011927/1,Aberystwyth University
2018-19,EPSRC,Research and Innovation Grant,EP/S011927/1,Aberystwyth University
2018-19,EPSRC,Research and Innovation Grant,EP/S011927/1,Aberystwyth University
2018-19,EPSRC,Research and Innovation Grant,EP/S011927/1,The Alan Turing Institute
2018-19,EPSRC,Research and Innovation Grant,EP/S011927/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S011927/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S011927/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Leeds
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,"Imperial College of Science, Technology and Medicine"
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Bristol
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Lancaster
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Lancaster
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Leeds
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Oxford
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Reading
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Reading
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,University College London
2018-19,EPSRC,Research and Innovation Grant,EP/S011935/1,University College London
2018-19,EPSRC,Research and Innovation Grant,EP/S011978/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S011978/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S011978/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S012001/1,The University of Lincoln
2018-19,EPSRC,Research and Innovation Grant,EP/S012001/1,Oxford Brookes University
2018-19,EPSRC,Research and Innovation Grant,EP/S012001/1,The University of Lincoln
2018-19,EPSRC,Research and Innovation Grant,EP/S012001/1,The University of Lincoln
2018-19,EPSRC,Research and Innovation Grant,EP/S012001/1,The University of Lincoln
2018-19,EPSRC,Research and Innovation Grant,EP/S012001/1,The University of Lincoln
2018-19,EPSRC,Research and Innovation Grant,EP/S012079/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S012079/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S012079/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S012079/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S012079/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S012079/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S012079/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S012087/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S012087/1,Regents of the Univ California Berkeley
2018-19,EPSRC,Research and Innovation Grant,EP/S012087/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S012087/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S012087/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S012087/1,University of Nottingham
2018-19,EPSRC,Research and Innovation Grant,EP/S012117/1,Heriot-Watt University
2018-19,EPSRC,Research and Innovation Grant,EP/S012117/1,Heriot-Watt University
2018-19,EPSRC,Research and Innovation Grant,EP/S012117/1,Heriot-Watt University
2018-19,EPSRC,Research and Innovation Grant,EP/S012117/1,Heriot-Watt University
2018-19,EPSRC,Research and Innovation Grant,EP/S012117/1,Heriot-Watt University
2018-19,EPSRC,Research and Innovation Grant,EP/S012117/1,Heriot-Watt University
2018-19,EPSRC,Research and Innovation Grant,EP/S012117/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S012117/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S012117/1,The University of Edinburgh
2018-19,EPSRC,Research and Innovation Grant,EP/S012133/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S012133/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S012133/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S012133/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S012133/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S012133/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S012133/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S012141/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S012168/1,The University of Bath
2018-19,EPSRC,Research and Innovation Grant,EP/S012168/1,The University of Bath
2018-19,EPSRC,Research and Innovation Grant,EP/S012168/1,The University of Bath
2018-19,EPSRC,Research and Innovation Grant,EP/S012168/1,The University of Bath
2018-19,EPSRC,Research and Innovation Grant,EP/S012168/1,The University of Bath
2018-19,EPSRC,Research and Innovation Grant,EP/S012206/1,University of Durham
2018-19,EPSRC,Research and Innovation Grant,EP/S012206/1,Newcastle University
2018-19,EPSRC,Research and Innovation Grant,EP/S012206/1,Newcastle University
2018-19,EPSRC,Research and Innovation Grant,EP/S012206/1,Newcastle University
2018-19,EPSRC,Research and Innovation Grant,EP/S012206/1,Queen's University Belfast
2018-19,EPSRC,Research and Innovation Grant,EP/S012206/1,The University of Hull
2018-19,EPSRC,Research and Innovation Grant,EP/S012206/1,The University of Leeds
2018-19,EPSRC,Research and Innovation Grant,EP/S012206/1,The University of Leeds
2018-19,EPSRC,Research and Innovation Grant,EP/S012206/1,University of Durham
2018-19,EPSRC,Research and Innovation Grant,EP/S012206/1,University of Durham
2018-19,EPSRC,Research and Innovation Grant,EP/S012206/1,University of Northumbria at Newcastle
2018-19,EPSRC,Research and Innovation Grant,EP/S012206/1,University of Northumbria at Newcastle
2018-19,EPSRC,Research and Innovation Grant,EP/S012265/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S012265/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S012265/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S012265/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S012362/1,The University of Bristol
2018-19,EPSRC,Fellowship,EP/S012524/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S012559/1,University College London
2018-19,EPSRC,Research and Innovation Grant,EP/S012745/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S012745/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S012745/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S012745/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S012788/1,University of Durham
2018-19,EPSRC,Research and Innovation Grant,EP/S012788/1,University of Durham
2018-19,EPSRC,Research and Innovation Grant,EP/S012796/1,The University of Leeds
2018-19,EPSRC,Research and Innovation Grant,EP/S01280X/1,University of Northumbria at Newcastle
2018-19,EPSRC,Research and Innovation Grant,EP/S012907/1,Queen Mary University of London
2018-19,EPSRC,Research and Innovation Grant,EP/S012907/1,Queen Mary University of London
2018-19,EPSRC,Research and Innovation Grant,EP/S013008/1,University College London
2018-19,EPSRC,Research and Innovation Grant,EP/S013008/1,University College London
2018-19,EPSRC,Research and Innovation Grant,EP/S013024/1,The University of Bristol
2018-19,EPSRC,Research and Innovation Grant,EP/S013083/1,The University of Cambridge
2018-19,EPSRC,Research and Innovation Grant,EP/S013105/1,The University of Oxford
2018-19,EPSRC,Research and Innovation Grant,EP/S013113/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S013113/1,STFC - Laboratories
2018-19,EPSRC,Research and Innovation Grant,EP/S013113/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S013172/1,The University of Oxford
2018-19,EPSRC,Research and Innovation Grant,EP/S013296/1,The University of Southampton
2018-19,EPSRC,Research and Innovation Grant,EP/S013296/1,The University of Southampton
2018-19,EPSRC,Research and Innovation Grant,EP/S013318/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S013318/1,Swansea University
2018-19,EPSRC,Research and Innovation Grant,EP/S013318/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S013318/1,The University of Warwick
2018-19,EPSRC,Research and Innovation Grant,EP/S013377/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S013377/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S013377/1,The University of Strathclyde
2018-19,EPSRC,Research and Innovation Grant,EP/S013385/1,University of Nottingham
2018-19,EPSRC,Research and Innovation Grant,EP/S013385/1,University of Nottingham
2018-19,EPSRC,Research and Innovation Grant,EP/S013393/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S013393/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S013393/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S013393/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S013393/1,The University of Liverpool
2018-19,EPSRC,Research and Innovation Grant,EP/S013539/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S013539/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S013539/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S013555/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S01358X/1,The University of Sheffield
2018-19,EPSRC,Research and Innovation Grant,EP/S01358X/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S013601/1,King's College London
2018-19,EPSRC,Research and Innovation Grant,EP/S01361X/1,The University of Birmingham
2018-19,EPSRC,Research and Innovation Grant,EP/S013652/1,Cranfield University
2018-19,EPSRC,Research and Innovation Grant,EP/S013652/1,Cranfield University
2018-19,EPSRC,Research and Innovation Grant,EP/S013652/1,Cranfield University
2018-19,EPSRC,Research and Innovation Grant,EP/S013652/1,London South Bank University
2018-19,EPSRC,Research and Innovation Grant,EP/S013660/1,The Open University
2018-19,EPSRC,Research and Innovation Grant,EP/S013687/1,"Imperial College of Science, Technology and Medicine"
2018-19,EPSRC,Research and Innovation Grant,EP/S013687/1,"Imperial College of Science, Technology and Medicine"
2018-19,EPSRC,Research and Innovation Grant,EP/S013687/1,"Imperial College of Science, Technology and Medicine"
2018-19,EPSRC,Research and Innovation Grant,EP/S013687/1,"Imperial College of Science, Technology and Medicine"
2018-19,EPSRC,Research and Innovation Grant,EP/S013687/1,"Imperial College of Science, Technology and Medicine"
2018-19,EPSRC,Research and Innovation Grant,EP/S013687/1,"Imperial College of Science, Technology and Medicine"
2018-19,EPSRC,Research and Innovation Grant,EP/S013741/1,The University of York
2018-19,EPSRC,Research and Innovation Grant,EP/S013741/1,The University of York
2018-19,EPSRC,Research and Innovation Grant,EP/S013741/1,The University of York
2018-19,EPSRC,Research and Innovation Grant,EP/S013741/1,The University of York
2018-19,EPSRC,Research and Innovation Grant,EP/S01375X/1,University College London
2018-19,EPSRC,Research and Innovation Grant,EP/S013768/1,The University of Leeds
2018-19,EPSRC,Research and Innovation Grant,EP/S013768/1,The University of Leeds
2018-19,EPSRC,Research and Innovation Grant,EP/S013768/1,The University of Leeds
2018-19,EPSRC,Research and Innovation Grant,EP/S013776/1,The University of Southampton
2018-19,EPSRC,Research and Innovation Grant,EP/S013776/1,The University of Southampton
2018-19,EPSRC,Research and Innovation Grant,EP/S013814/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S013814/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S013814/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S013814/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S013814/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S013865/1,Loughborough University
2018-19,EPSRC,Research and Innovation Grant,EP/S013946/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S014039/1,University College London
2018-19,EPSRC,Research and Innovation Grant,EP/S014128/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S014128/1,The University of Manchester
2018-19,EPSRC,Research and Innovation Grant,EP/S014195/1,Cardiff University
2018-19,EPSRC,Research and Innovation Grant,EP/S014195/1,Cardiff University
2018-19,EPSRC,Research and Innovation Grant,EP/S014195/1,"University of the West of England, Bristol"
2018-19,EPSRC,Research and Innovation Grant,EP/S014284/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S014284/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S014284/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S014284/1,The University of Glasgow
2018-19,EPSRC,Research and Innovation Grant,EP/S014306/1,Swansea University
2018-19,EPSRC,Research and Innovation Grant,EP/S014365/1,Cranfield University
2018-19,EPSRC,Research and Innovation Grant,EP/S014365/1,Cranfield University
